Creating 3 nodes.
MOBILE: 
node 0 getnode 0x1f1de40 dst-> 0x1ff2cd0 10.0.0.1 source-> 0x1ff30f0
SENSOR: 
seconds interval2
node 1 getnode 0x1f1e3b0 dst-> 0x1ff4910 10.0.0.2 source-> 0x1ff4a70
BASE: 
node 2 getnode 0x1f1e140 dst-> 0x1ff5d00 10.0.0.3 source-> 0x1ff6330
Starting simulation for 2734 s, seed value 12345673
141.5 0 0 0 0 0 936.33 1047.9
141.5 0 0 14 1092 0 1053.3 952.67
141.5 0 0 0 0 0 1549.3 262.67
142.5 0 0 0 0 0 936.33 1047.9
142.5 0 0 14 1092 0 1053.3 952.67
142.5 0 0 0 0 0 1549.3 262.67
143.5 0 0 0 0 0 936.32 1047.9
143.5 0 0 14 1092 0 1053.3 952.67
143.5 0 0 0 0 0 1549.3 262.67
144.5 0 0 0 0 0 936.32 1047.9
144.5 0 0 14 1092 0 1053.3 952.67
144.5 0 0 0 0 0 1549.3 262.67
145.5 0 0 0 0 0 936.32 1047.9
145.5 0 0 14 1092 0 1053.3 952.67
145.5 0 0 0 0 0 1549.3 262.67
146.5 0 0 0 0 0 936.32 1047.9
146.5 0 0 14 1092 0 1053.3 952.67
146.5 0 0 0 0 0 1549.3 262.67
147.5 0 0 0 0 0 936.32 1047.9
147.5 0 0 14 1092 0 1053.3 952.67
147.5 0 0 0 0 0 1549.3 262.67
148.5 0 0 0 0 0 936.31 1047.9
148.5 0 0 14 1092 0 1053.3 952.67
148.5 0 0 0 0 0 1549.3 262.67
149.5 0 0 0 0 0 936.31 1047.9
149.5 0 0 14 1092 0 1053.3 952.67
149.5 0 0 0 0 0 1549.3 262.67
At time 150 created bundle with sequence number 3012 from 10.0.0.2 to 10.0.0.3
150.5 0 0 0 0 0 936.31 1047.9
150.5 0 0 15 1170 0 1053.3 952.67
150.5 0 0 0 0 0 1549.3 262.67
151.5 0 0 0 0 0 936.31 1047.9
151.5 0 0 15 1170 0 1053.3 952.67
151.5 0 0 0 0 0 1549.3 262.67
152.5 0 0 0 0 0 936.3 1047.9
152.5 0 0 15 1170 0 1053.3 952.67
152.5 0 0 0 0 0 1549.3 262.67
153.5 0 0 0 0 0 936.3 1048
153.5 0 0 15 1170 0 1053.3 952.67
153.5 0 0 0 0 0 1549.3 262.67
154.5 0 0 0 0 0 936.3 1048
154.5 0 0 15 1170 0 1053.3 952.67
154.5 0 0 0 0 0 1549.3 262.67
155.5 0 0 0 0 0 936.3 1048
155.5 0 0 15 1170 0 1053.3 952.67
155.5 0 0 0 0 0 1549.3 262.67
156.5 0 0 0 0 0 936.3 1048
156.5 0 0 15 1170 0 1053.3 952.67
156.5 0 0 0 0 0 1549.3 262.67
157.5 0 0 0 0 0 936.29 1048
157.5 0 0 15 1170 0 1053.3 952.67
157.5 0 0 0 0 0 1549.3 262.67
158.5 0 0 0 0 0 936.29 1048
158.5 0 0 15 1170 0 1053.3 952.67
158.5 0 0 0 0 0 1549.3 262.67
159.5 0 0 0 0 0 936.29 1048
159.5 0 0 15 1170 0 1053.3 952.67
159.5 0 0 0 0 0 1549.3 262.67
At time 160 created bundle with sequence number 3213 from 10.0.0.2 to 10.0.0.3
160.5 0 0 0 0 0 936.29 1048
160.5 0 0 16 1248 0 1053.3 952.67
160.5 0 0 0 0 0 1549.3 262.67
161.5 0 0 0 0 0 936.29 1048
161.5 0 0 16 1248 0 1053.3 952.67
161.5 0 0 0 0 0 1549.3 262.67
162.5 0 0 0 0 0 936.28 1048
162.5 0 0 16 1248 0 1053.3 952.67
162.5 0 0 0 0 0 1549.3 262.67
163.5 0 0 0 0 0 936.28 1048
163.5 0 0 16 1248 0 1053.3 952.67
163.5 0 0 0 0 0 1549.3 262.67
164.5 0 0 0 0 0 936.28 1048
164.5 0 0 16 1248 0 1053.3 952.67
164.5 0 0 0 0 0 1549.3 262.67
165.5 0 0 0 0 0 936.28 1048.1
165.5 0 0 16 1248 0 1053.3 952.67
165.5 0 0 0 0 0 1549.3 262.67
166.5 0 0 0 0 0 936.28 1048.1
166.5 0 0 16 1248 0 1053.3 952.67
166.5 0 0 0 0 0 1549.3 262.67
167.5 0 0 0 0 0 936.27 1048.1
167.5 0 0 16 1248 0 1053.3 952.67
167.5 0 0 0 0 0 1549.3 262.67
168.5 0 0 0 0 0 936.27 1048.1
168.5 0 0 16 1248 0 1053.3 952.67
168.5 0 0 0 0 0 1549.3 262.67
169.5 0 0 0 0 0 936.27 1048.1
169.5 0 0 16 1248 0 1053.3 952.67
169.5 0 0 0 0 0 1549.3 262.67
At time 170 created bundle with sequence number 3414 from 10.0.0.2 to 10.0.0.3
170.5 0 0 0 0 0 936.27 1048.1
170.5 0 0 17 1326 0 1053.3 952.67
170.5 0 0 0 0 0 1549.3 262.67
171.5 0 0 0 0 0 936.27 1048.1
171.5 0 0 17 1326 0 1053.3 952.67
171.5 0 0 0 0 0 1549.3 262.67
172.5 0 0 0 0 0 936.26 1048.1
172.5 0 0 17 1326 0 1053.3 952.67
172.5 0 0 0 0 0 1549.3 262.67
173.5 0 0 0 0 0 936.26 1048.1
173.5 0 0 17 1326 0 1053.3 952.67
173.5 0 0 0 0 0 1549.3 262.67
174.5 0 0 0 0 0 936.26 1048.1
174.5 0 0 17 1326 0 1053.3 952.67
174.5 0 0 0 0 0 1549.3 262.67
175.5 0 0 0 0 0 936.26 1048.1
175.5 0 0 17 1326 0 1053.3 952.67
175.5 0 0 0 0 0 1549.3 262.67
176.5 0 0 0 0 0 936.26 1048.1
176.5 0 0 17 1326 0 1053.3 952.67
176.5 0 0 0 0 0 1549.3 262.67
177.5 0 0 0 0 0 936.25 1048.2
177.5 0 0 17 1326 0 1053.3 952.67
177.5 0 0 0 0 0 1549.3 262.67
