Creating 4 nodes.
MOBILE: 
0: [10.0.0.8, 50, 300, 101, 102, 101, 102, 101, 102, 101, 102, 0]
1: [10.0.0.2, -, 0, -, -, -, -, -, -, -, -, 1]
2: [10.0.0.3, -, -, -, -, -, -, -, -, -, -, 0]


node 0 getnode 0x159ee40 dst-> 0x167a270 10.0.0.1 source-> 0x167a440
SENSOR: 
seconds interval2
node 1 getnode 0x159f3b0 dst-> 0x167baf0 10.0.0.2 source-> 0x167bf10
SENSOR: 
seconds interval1
node 2 getnode 0x159f140 dst-> 0x167d120 10.0.0.3 source-> 0x167d7d0
BASE: 
node 3 getnode 0x159f230 dst-> 0x167ee30 10.0.0.4 source-> 0x167f250
Starting simulation for 800 s, seed value 12345671
98.5 0 0 0 0 0 886.08 1017
98.5 0 0 9 909 0 1053.3 952.67
98.5 0 0 19 1824 0 1100 726
98.5 0 0 0 0 0 1549.3 262.67
99.5 0 0 0 0 0 886.5 1017.8
99.5 0 0 9 909 0 1053.3 952.67
99.5 0 0 19 1824 0 1100 726
99.5 0 0 0 0 0 1549.3 262.67
At time 100 created bundle with sequence number 2026 from 10.0.0.2 to 10.0.0.4
At time 100 created bundle with sequence number 2027 from 10.0.0.3 to 10.0.0.4
100.5 0 0 0 0 0 886.75 1019.3
100.5 0 0 10 1010 0 1053.3 952.67
100.5 0 0 20 1920 0 1100 726
100.5 0 0 0 0 0 1549.3 262.67
101.5 0 0 0 0 0 887.17 1020.3
101.5 0 0 10 1010 0 1053.3 952.67
101.5 0 0 20 1920 0 1100 726
101.5 0 0 0 0 0 1549.3 262.67
102.5 0 0 0 0 0 887.33 1020.4
102.5 0 0 10 1010 0 1053.3 952.67
102.5 0 0 20 1920 0 1100 726
102.5 0 0 0 0 0 1549.3 262.67
103.5 0 0 0 0 0 887.98 1020.7
103.5 0 0 10 1010 0 1053.3 952.67
103.5 0 0 20 1920 0 1100 726
103.5 0 0 0 0 0 1549.3 262.67
104.5 0 0 0 0 0 889.54 1021.3
104.5 0 0 10 1010 0 1053.3 952.67
104.5 0 0 20 1920 0 1100 726
104.5 0 0 0 0 0 1549.3 262.67
At time 105 created bundle with sequence number 2128 from 10.0.0.3 to 10.0.0.4
105.5 0 0 0 0 0 891.37 1022
105.5 0 0 10 1010 0 1053.3 952.67
105.5 0 0 21 2016 0 1100 726
105.5 0 0 0 0 0 1549.3 262.67
106.5 0 0 0 0 0 893.22 1022.8
106.5 0 0 10 1010 0 1053.3 952.67
106.5 0 0 21 2016 0 1100 726
106.5 0 0 0 0 0 1549.3 262.67
107.5 0 0 0 0 0 895.14 1023.7
107.5 0 0 10 1010 0 1053.3 952.67
107.5 0 0 21 2016 0 1100 726
107.5 0 0 0 0 0 1549.3 262.67
108.5 0 0 0 0 0 897.3 1024.7
108.5 0 0 10 1010 0 1053.3 952.67
108.5 0 0 21 2016 0 1100 726
108.5 0 0 0 0 0 1549.3 262.67
109.5 0 0 0 0 0 899.55 1025.5
109.5 0 0 10 1010 0 1053.3 952.67
109.5 0 0 21 2016 0 1100 726
109.5 0 0 0 0 0 1549.3 262.67
At time 110 created bundle with sequence number 2229 from 10.0.0.2 to 10.0.0.4
At time 110 created bundle with sequence number 2230 from 10.0.0.3 to 10.0.0.4
110.5 0 0 0 0 0 901.54 1026.1
110.5 0 0 11 1111 0 1053.3 952.67
110.5 0 0 22 2112 0 1100 726
110.5 0 0 0 0 0 1549.3 262.67
111.5 0 0 0 0 0 903.23 1026.9
111.5 0 0 11 1111 0 1053.3 952.67
111.5 0 0 22 2112 0 1100 726
111.5 0 0 0 0 0 1549.3 262.67
112.5 0 0 0 0 0 904.58 1027.6
112.5 0 0 11 1111 0 1053.3 952.67
112.5 0 0 22 2112 0 1100 726
112.5 0 0 0 0 0 1549.3 262.67
113.5 0 0 0 0 0 905.62 1028.3
