+56500000000.0ns; NODE: 0; POS: x=1259.14, y=831.99, z=0; VEL: x=16.3915, y=5.96285, z=0
+56750000042.0ns; NODE: 0; POS: x=1263.24, y=833.48, z=0; VEL: x=0, y=0, z=0
+57000000000.0ns; NODE: 0; POS: x=1263.24, y=833.48, z=0; VEL: x=16.5468, y=2.54942, z=0
+57249999932.0ns; NODE: 0; POS: x=1267.38, y=834.118, z=0; VEL: x=0, y=0, z=0
+57500000000.0ns; NODE: 0; POS: x=1267.38, y=834.118, z=0; VEL: x=15.2278, y=0.627851, z=0
+57749999945.0ns; NODE: 0; POS: x=1271.18, y=834.275, z=0; VEL: x=0, y=0, z=0
+58000000000.0ns; NODE: 0; POS: x=1271.18, y=834.275, z=0; VEL: x=14.504, y=1.01513, z=0
+58250000018.0ns; NODE: 0; POS: x=1274.81, y=834.529, z=0; VEL: x=0, y=0, z=0
+58500000000.0ns; NODE: 0; POS: x=1274.81, y=834.529, z=0; VEL: x=7.06831, y=0.799067, z=0
+59000000047.0ns; NODE: 0; POS: x=1278.34, y=834.928, z=0; VEL: x=0, y=0, z=0
+59500000000.0ns; NODE: 0; POS: x=1278.34, y=834.928, z=0; VEL: x=30.1938, y=3.59179, z=0
+59749999995.0ns; NODE: 0; POS: x=1285.89, y=835.826, z=0; VEL: x=0, y=0, z=0
+60000000000.0ns; NODE: 0; POS: x=1285.89, y=835.826, z=0; VEL: x=14.699, y=2.04953, z=0
+60250000004.0ns; NODE: 0; POS: x=1289.57, y=836.338, z=0; VEL: x=0, y=0, z=0
+60500000000.0ns; NODE: 0; POS: x=1289.57, y=836.338, z=0; VEL: x=14.5881, y=2.08289, z=0
+60749999964.0ns; NODE: 0; POS: x=1293.21, y=836.859, z=0; VEL: x=0, y=0, z=0
+61000000000.0ns; NODE: 0; POS: x=1293.21, y=836.859, z=0; VEL: x=16.9029, y=1.24646, z=0
+61249999971.0ns; NODE: 0; POS: x=1297.44, y=837.171, z=0; VEL: x=0, y=0, z=0
+61500000000.0ns; NODE: 0; POS: x=1297.44, y=837.171, z=0; VEL: x=19.1758, y=0.440683, z=0
+62250000134.0ns; NODE: 0; POS: x=1311.82, y=837.501, z=0; VEL: x=0, y=0, z=0
+63000000000.0ns; NODE: 0; POS: x=1311.82, y=837.501, z=0; VEL: x=21.0893, y=-0.705517, z=0
+63250000021.0ns; NODE: 0; POS: x=1317.09, y=837.325, z=0; VEL: x=0, y=0, z=0
+63500000000.0ns; NODE: 0; POS: x=1317.09, y=837.325, z=0; VEL: x=19.2006, y=0.387052, z=0
+63749999937.0ns; NODE: 0; POS: x=1321.89, y=837.422, z=0; VEL: x=0, y=0, z=0
+64000000000.0ns; NODE: 0; POS: x=1321.89, y=837.422, z=0; VEL: x=16.8522, y=-0.381967, z=0
+64249999994.0ns; NODE: 0; POS: x=1326.11, y=837.326, z=0; VEL: x=0, y=0, z=0
+64500000000.0ns; NODE: 0; POS: x=1326.11, y=837.326, z=0; VEL: x=14.8889, y=-0.590248, z=0
+64750000025.0ns; NODE: 0; POS: x=1329.83, y=837.179, z=0; VEL: x=0, y=0, z=0
+65000000000.0ns; NODE: 0; POS: x=1329.83, y=837.179, z=0; VEL: x=15.2484, y=-0.122377, z=0
+65249999987.0ns; NODE: 0; POS: x=1333.64, y=837.148, z=0; VEL: x=0, y=0, z=0
